iter	Passed	Remaining
0	59	59282
1	108	54011
2	160	53301
3	209	52258
4	262	52165
5	311	51526
6	364	51662
7	416	51589
8	466	51371
9	515	51016
10	562	50542
11	612	50416
12	657	49930
13	708	49897
14	758	49809
15	807	49687
16	857	49595
17	905	49391
18	956	49388
19	1012	49595
20	1104	51501
21	1252	55691
22	1303	55383
23	1353	55041
24	1401	54650
25	1448	54275
26	1496	53915
27	1540	53479
28	1587	53160
29	1632	52785
30	1683	52614
31	1732	52412
32	1781	52196
33	1829	51992
34	1876	51732
35	1923	51508
36	1967	51215
37	2013	50985
38	2059	50749
39	2103	50478
40	2146	50217
41	2192	50005
42	2236	49772
43	2283	49609
44	2330	49457
45	2375	49267
46	2422	49112
47	2467	48929
48	2517	48851
49	2562	48686
50	2606	48497
51	2653	48383
52	2697	48199
53	2744	48088
54	2791	47961
55	2836	47821
56	2880	47656
57	2925	47514
58	2967	47335
59	3012	47193
60	3056	47050
61	3099	46896
62	3142	46737
63	3189	46650
64	3238	46584
65	3283	46469
66	3328	46350
67	3375	46268
68	3417	46109
69	3465	46036
70	3509	45915
71	3552	45785
72	3596	45665
73	3639	45536
74	3684	45447
75	3731	45372
76	3778	45290
77	3827	45243
78	3868	45094
79	3911	44980
80	3955	44877
81	4000	44783
82	4047	44719
83	4092	44626
84	4133	44494
85	4175	44376
86	4223	44322
87	4275	44304
88	4323	44254
89	4369	44179
90	4414	44095
91	4456	43979
92	4500	43888
93	4543	43786
94	4589	43717
95	4636	43660
96	4693	43689
97	4735	43587
98	4780	43507
99	4827	43450
100	4875	43395
101	4921	43328
102	4964	43234
103	5011	43177
104	5054	43079
105	5096	42986
106	5141	42907
107	5185	42827
108	5229	42749
109	5278	42710
110	5322	42629
111	5368	42560
112	5415	42507
113	5457	42412
114	5498	42315
115	5539	42215
116	5585	42153
117	5632	42097
118	5683	42079
119	5730	42022
120	5778	41980
121	5826	41929
122	5870	41855
123	5914	41779
124	5956	41697
125	6003	41641
126	6050	41594
127	6093	41513
128	6134	41420
129	6180	41358
130	6224	41291
131	6269	41224
132	6309	41131
133	6357	41085
134	6399	41006
135	6445	40948
136	6486	40857
137	6526	40768
138	6569	40693
139	6615	40641
140	6660	40576
141	6706	40522
142	6750	40453
143	6794	40387
144	6833	40295
145	6879	40242
146	6926	40190
147	6972	40140
148	7019	40093
149	7061	40016
150	7107	39964
151	7153	39910
152	7204	39881
153	7246	39809
154	7291	39749
155	7338	39704
156	7382	39642
157	7429	39590
158	7473	39531
159	7516	39460
160	7562	39407
161	7607	39351
162	7654	39306
163	7700	39253
164	7744	39190
165	7793	39153
166	7832	39066
167	7877	39013
168	7919	38941
169	7965	38890
170	8013	38850
171	8054	38772
172	8096	38702
173	8142	38653
174	8186	38595
175	8231	38539
176	8281	38505
177	8324	38442
178	8367	38376
179	8410	38312
180	8453	38249
181	8494	38176
182	8537	38115
183	8584	38070
184	8635	38043
185	8686	38014
186	8731	37961
187	8777	37909
188	8823	37863
189	8871	37822
190	8914	37757
191	8957	37697
192	9003	37647
193	9044	37577
194	9086	37511
195	9134	37470
196	9180	37420
197	9220	37347
198	9263	37284
199	9305	37220
200	9347	37159
201	9394	37113
202	9436	37048
203	9480	36993
204	9526	36945
205	9572	36896
206	9620	36854
207	9666	36805
208	9709	36748
209	9754	36693
210	9798	36639
211	9841	36579
212	9887	36532
213	9931	36476
214	9976	36424
215	10016	36355
216	10062	36307
217	10105	36248
218	10152	36206
219	10197	36156
220	10240	36098
221	10286	36049
222	10335	36011
223	10376	35946
224	10420	35893
225	10462	35830
226	10507	35781
227	10558	35749
228	10605	35705
229	10652	35664
230	10696	35608
231	10748	35581
232	10794	35532
233	10842	35492
234	10887	35443
235	10936	35403
236	10980	35351
237	11023	35294
238	11070	35248
239	11109	35181
240	11155	35131
241	11203	35090
242	11249	35043
243	11293	34992
244	11341	34951
245	11387	34901
246	11427	34836
247	11472	34788
248	11520	34747
249	11564	34694
250	11608	34641
251	11654	34593
252	11698	34540
253	11742	34486
254	11786	34435
255	11832	34386
256	11874	34330
257	11922	34288
258	11971	34250
259	12013	34191
260	12058	34142
